external_id,numero_partido,fecha,hora,categoria,tira,equipo,rival,localia,espacio,direccion,venue,status_label
277197,57442,2026-09-24,21:30,Superiores,Septima,Superiores ECHAGÜE B,CASH,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
276528,53149,2026-09-25,21:30,Superiores,Tercera,Superiores ECHAGÜE,MORON B,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",MORON #2,Programado
239075,741291,2026-09-26,09:30,Sub 11,Nivel D,Sub 11 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
239603,742291,2026-09-26,10:30,Sub 12,Nivel D,Sub 12 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
240131,743291,2026-09-26,11:30,Sub 13,Nivel D,Sub 13 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
240659,744291,2026-09-26,12:45,Sub 14,Nivel D,Sub 14 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
241055,745291,2026-09-26,14:00,Sub 15,Nivel D,Sub 15 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
241715,746291,2026-09-26,15:15,Sub 16,Nivel D,Sub 16 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
242243,748291,2026-09-26,16:30,Sub 18,Nivel D,Sub 18 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
242771,749291,2026-09-26,18:00,Sub 21,Nivel D,Sub 21 ECHAGÜE,ABS,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ABS #1,Programado
277199,57444,2026-10-01,21:30,Superiores,Septima,Superiores ECHAGÜE B,VARG B,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",VARG #1,Programado
276534,53155,2026-10-02,21:30,Superiores,Tercera,Superiores ECHAGÜE,CPAZUL,Local,Cancha 1,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
239085,741301,2026-10-03,10:00,Sub 11,Nivel D,Sub 11 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
239613,742301,2026-10-03,11:00,Sub 12,Nivel D,Sub 12 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
240141,743301,2026-10-03,12:00,Sub 13,Nivel D,Sub 13 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
240669,744301,2026-10-03,13:15,Sub 14,Nivel D,Sub 14 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
241065,745301,2026-10-03,14:30,Sub 15,Nivel D,Sub 15 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
241725,746301,2026-10-03,15:45,Sub 16,Nivel D,Sub 16 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
242253,748301,2026-10-03,17:00,Sub 18,Nivel D,Sub 18 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
242781,749301,2026-10-03,18:30,Sub 21,Nivel D,Sub 21 ECHAGÜE,RACING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
277204,57449,2026-10-08,21:30,Superiores,Septima,Superiores ECHAGÜE B,NOLTING,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
276535,53156,2026-10-09,21:30,Superiores,Tercera,Superiores ECHAGÜE,CCC,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",CCC #1,Programado
276542,53163,2026-10-15,21:30,Superiores,Tercera,Superiores ECHAGÜE,CIUDAD B,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",CIUDAD #2,Programado
277210,57455,2026-10-22,21:30,Superiores,Septima,Superiores ECHAGÜE B,GELP B,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",CENTENARIO #1,Programado
276544,53165,2026-10-23,21:30,Superiores,Tercera,Superiores ECHAGÜE,AC B,Local,Cancha 1,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
239086,741302,2026-10-24,09:00,Sub 11,Nivel D,Sub 11 ECHAGÜE,GEVP,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",GEVP #1,Programado
239614,742302,2026-10-24,10:00,Sub 12,Nivel D,Sub 12 ECHAGÜE,GEVP,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",GEVP #1,Programado
240142,743302,2026-10-24,11:00,Sub 13,Nivel D,Sub 13 ECHAGÜE,GEVP,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",GEVP #1,Programado
